"TimeMarker","Id","VelocityX","VelocityY","VelocityZ","PlatformAzimuth","RollAngle","PitchAngle","PresentTrueHeading","PresentMagneticHeading","GreatCircleSteeringError","ComputedCourseDeviation","TimeToSteerpoint","DistanceToSteerpoint","RelativeBearingToSteerpoint","RelativeBearingToNthWaypoint_Markpoint","TimeToNthWaypoint_Markpoint","DistanceToNthWaypoint_Markpoint","MagneticHeadingToNthWaypoint_Markpoint","TrueAirSpeed","PresentMagneticGroundTrack","PresentDriftAngle"
2025-08-01 07:30:30,328952971292,-282.954254150391,658.8564453125,-0.0456695556640625,1.38409423828125,1.94345092773438,0.004913330078125,0.478668212890625,0.1458740234375,0.793975830078125,0.9266357421875,24113,28453,0.780670166015625,0.780670166015625,24113,28453,0.9266357421875,424.875,0.132659912109375,1.98675537109375
2025-08-01 07:30:30,330249011228,-283.182067871094,658.723754882813,-0.00777053833007813,1.3839111328125,1.9439697265625,0.004302978515625,0.47833251953125,0.45648193359375,0.794219970703125,1.237548828125,24114,28453,0.780975341796875,0.780975341796875,24114,28453,1.237548828125,424.875,0.443328857421875,1.98684692382813
2025-08-01 07:30:30,330345480220,-283.481384277344,658.643249511719,-0.0342979431152344,1.38385009765625,1.94345092773438,0.004913330078125,0.4783935546875,0.145599365234375,0.794219970703125,0.9266357421875,24113,28453,0.78094482421875,0.78094482421875,24113,28453,0.9266357421875,424.875,0.132415771484375,1.98675537109375
2025-08-01 07:30:30,331456970780,-283.70458984375,658.525451660156,0.00439834594726563,1.38363647460938,1.9439697265625,0.004302978515625,0.478057861328125,0.456207275390625,0.794464111328125,1.237548828125,24114,28453,0.78125,0.781219482421875,24114,28453,1.237548828125,424.875,0.443084716796875,1.98684692382813
2025-08-01 07:30:30,331553439772,-284.01708984375,658.433776855469,-0.0389785766601563,1.38357543945313,1.94345092773438,0.004913330078125,0.478118896484375,0.145355224609375,0.794464111328125,0.9266357421875,24110,28453,0.781219482421875,0.781219482421875,24110,28453,0.9266357421875,424.875,0.13214111328125,1.98678588867188
2025-08-01 07:30:30,332862062620,-284.241027832031,658.319580078125,-0.00687408447265625,1.38336181640625,1.94400024414063,0.004302978515625,0.477783203125,0.4559326171875,0.79473876953125,1.237548828125,24111,28453,0.781494140625,0.781494140625,24111,28453,1.237548828125,424.875,0.442840576171875,1.98687744140625
2025-08-01 07:30:30,332958531612,-284.529968261719,658.246154785156,-0.0309257507324219,1.38330078125,1.9434814453125,0.004913330078125,0.477874755859375,0.14508056640625,0.79473876953125,0.9266357421875,24110,28453,0.781494140625,0.781494140625,24110,28453,0.9266357421875,424.875,0.13189697265625,1.98681640625
2025-08-01 07:30:30,334166491164,-284.736480712891,658.11865234375,-0.0126457214355469,1.38311767578125,1.94393920898438,0.00433349609375,0.4775390625,0.4556884765625,0.79498291015625,1.237548828125,24111,28453,0.781768798828125,0.781768798828125,24111,28453,1.237548828125,424.875,0.442596435546875,1.98690795898438
2025-08-01 07:30:30,334262960156,-285.029632568359,658.046813964844,-0.0386962890625,1.383056640625,1.94345092773438,0.004913330078125,0.47760009765625,0.144805908203125,0.79498291015625,0.9266357421875,24110,28453,0.78173828125,0.78173828125,24110,28453,0.9266357421875,424.875,0.13165283203125,1.98684692382813
2025-08-01 07:30:30,335630303260,-285.256530761719,657.920654296875,-0.026214599609375,1.38284301757813,1.94393920898438,0.004302978515625,0.477264404296875,0.455413818359375,0.79522705078125,1.237548828125,24111,28453,0.78204345703125,0.78204345703125,24111,28453,1.237548828125,424.875,0.44232177734375,1.98690795898438
2025-08-01 07:30:30,335726772252,-285.558868408203,657.819458007813,-0.0401382446289063,1.38278198242188,1.94345092773438,0.004913330078125,0.47735595703125,0.144561767578125,0.79522705078125,0.9266357421875,24110,28453,0.782012939453125,0.782012939453125,24110,28453,0.9266357421875,424.875,0.13140869140625,1.98684692382813
2025-08-01 07:30:30,337031200796,-285.794128417969,657.713500976563,0.00419235229492188,1.38259887695313,1.94390869140625,0.004302978515625,0.477020263671875,0.455169677734375,0.79547119140625,1.237548828125,24111,28453,0.78228759765625,0.78228759765625,24111,28453,1.237548828125,424.875,0.44207763671875,1.98690795898438
2025-08-01 07:30:30,337127669788,-286.107940673828,657.621398925781,-0.0444412231445313,1.38250732421875,1.94342041015625,0.004913330078125,0.477081298828125,0.144317626953125,0.79547119140625,0.9266357421875,24110,28453,0.78228759765625,0.78228759765625,24110,28453,0.9266357421875,424.875,0.13116455078125,1.98687744140625
2025-08-01 07:30:31,338297880604,-286.31005859375,657.512512207031,-0.0152778625488281,1.38235473632813,1.94390869140625,0.00433349609375,0.476776123046875,0.45489501953125,0.79571533203125,1.237548828125,24111,28453,0.782562255859375,0.782562255859375,24111,28453,1.237548828125,424.875,0.44183349609375,1.9869384765625
